,0
0,1.3351641
1,0.44559225
2,1.8885161
3,1.8675814
4,2.2620173
5,1.815013
6,1.9841118
7,2.9287121
8,1.1510915
9,0.16660331
10,0.56965315
11,0.4981139
12,1.7499295
13,0.59441686
14,0.72216785
15,-0.3123364
16,0.5516282
17,1.550537
18,1.4817673
19,1.9117466
20,2.270822
21,1.287147
22,2.5323782
23,1.3211095
24,1.6462629
25,1.5870631
26,2.8917844
27,-0.09374562
28,3.3452518
29,2.1324918
30,1.9433323
31,0.16033062
32,0.93330514
33,1.1585323
34,-0.46706867
35,-0.19745532
36,1.7278672
37,0.85366833
38,2.0708852
39,1.4974357
40,3.3007557
41,2.5991755
42,2.5568843
43,-0.9462685
44,2.9312088
45,1.3824271
46,1.0658728
47,0.2926166
48,2.0968282
49,1.8541836
50,1.8900214
51,1.5985956
52,0.166525
53,1.0626739
54,1.5284165
55,2.377017
56,0.6688683
57,1.197867
58,-0.0809464
59,0.729591
60,1.4684881
61,1.4191881
62,1.8587968
63,1.2425399
64,2.5181746
65,0.39848328
66,1.9657079
67,1.7617109
68,1.2470496
69,1.0927947
70,3.5509052
71,1.2524017
72,1.08081
73,1.4012566
74,1.0257715
75,1.2594321
76,0.9125675
77,0.70917666
78,0.6255353
79,2.197123
80,1.3401853
81,0.01418712
82,0.72525054
83,-0.23399024
84,1.4493139
85,0.648123
86,-0.24291496
87,1.4082668
88,0.6266883
89,1.0013525
90,0.837621
91,2.004463
92,1.9968833
93,1.6072148
94,2.5624409
95,1.1333784
96,1.8613504
97,1.2475345
98,2.019043
99,0.6467857
100,0.96953696
101,0.44143486
102,1.1780589
103,3.0667958
104,1.4421521
105,0.95890355
106,0.74149615
107,0.5827378
108,1.7610428
109,1.6777021
110,0.73845387
111,0.7565041
112,0.8539045
113,1.5939773
114,1.728068
115,1.5338078
116,1.5994128
117,1.3048779
118,2.2491333
119,-0.23665869
120,1.5556605
121,0.26210558
122,0.19108917
123,-0.1321357
124,0.57433844
125,-0.42921278
126,0.28658766
127,1.0386591
128,-0.8637309
129,0.47742552
130,-0.94556385
131,-0.12880552
132,0.59745026
133,0.14627862
134,1.0583851
135,-0.29851297
136,1.9110924
137,2.0637689
138,1.5998434
139,1.4793893
140,1.6313193
141,0.8681699
142,2.0570211
143,0.21968189
144,2.1218495
145,1.597334
146,2.367322
147,1.8357052
148,2.550945
149,2.6505125
150,2.2435136
151,1.9647154
152,0.18953331
153,0.6592755
154,-0.31815696
155,0.042734373
156,1.3451041
157,0.59751594
158,2.7865984
159,0.610569
160,1.7041782
161,1.8905493
162,2.8634064
163,1.6966932
164,1.7456813
165,1.3816769
166,2.4977312
167,1.5236808
168,1.5801817
169,0.8064596
170,1.7717116
171,1.1657382
172,1.4804868
173,0.8035259
